net,length_um
clknet_leaf_14_clk,67.54
net10,67.46
A2[1],66.79
_2620_,66.66
_2122_,66.4
_2775_,66.2
net33,65.96
clknet_leaf_38_clk,65.52
clknet_leaf_48_clk,65.52
_1392_,64.88
_2513_,64.82
_2718_,64.7
_2556_,64.59
_2498_,64.52
clknet_leaf_53_clk,64.36
_2569_,63.635
_2849_,63.37
_2265_,63.36
_2439_,63.02
net11,62.98
clknet_leaf_21_clk,62.66
_2524_,62.36
_2600_,62.08
_2819_,61.82
net13,61.545
rf.registers\[10\]\[3\],60.79
_2730_,60.44
_2572_,60.085
_2179_,60.06
_2603_,59.96
_2858_,59.9
_2906_,59.88
_2845_,59.3
clknet_leaf_55_clk,59.24
_2601_,59.02
_2547_,58.32
_2441_,58.29
_1056_,58.25
_2403_,58.1
_2442_,58.04
_2834_,57.84
rf.registers\[6\]\[21\],57.735
_2871_,57.62
_1156_,57.32
_2296_,56.96
_1617_,56.92
_2720_,56.86
_1394_,56.815
rf.registers\[23\]\[24\],56.38
_2461_,56.26
_2995_,56
_2791_,55.92
rf.registers\[26\]\[30\],55.325
_2531_,55.32
_2886_,55.04
_2753_,54.98
_1962_,54.9
_2894_,54.9
_2942_,54.58
rf.registers\[21\]\[25\],54.57
clknet_leaf_70_clk,54.14
_2485_,53.88
_2826_,52.96
_2548_,52.66
_1582_,52.64
rf.registers\[18\]\[0\],52.6
rf.registers\[15\]\[4\],52.12
_2581_,51.6
rf.registers\[17\]\[0\],51.48
_2554_,51.42
_1974_,51.28
_2418_,51.26
rf.registers\[4\]\[21\],51.1
rf.registers\[20\]\[23\],50.54
net12,50.505
_2667_,50.4
rf.registers\[8\]\[5\],50.16
_3193_,49.86
_2529_,49.79
_2546_,49.58
_2280_,49.56
_1495_,49.36
_2404_,49.36
_2736_,49.28
_2678_,48.86
clknet_leaf_54_clk,48.78
_2697_,47.4
_1445_,47.29
_2245_,47.2
_2242_,47.16
_2576_,47.15
_2671_,47.12
_2851_,47.06
_2756_,47.04
_2879_,46.975
rf.registers\[2\]\[21\],46.88
clknet_leaf_6_clk,46.6
_2624_,46.56
_2735_,46.18
_3005_,46.16
_2733_,46.14
_1493_,46
_2250_,46
_1506_,45.96
_2583_,45.86
_2204_,45.82
_2343_,45.74
rf.registers\[26\]\[3\],45.6
_2926_,45.58
_1618_,45.57
rf.registers\[14\]\[21\],44.955
_2797_,44.72
_1084_,44.68
_1102_,44.56
_2173_,44.52
_2123_,44.5
rf.registers\[22\]\[3\],44.43
rf.registers\[21\]\[29\],44.28
rf.registers\[22\]\[0\],44.27
_1124_,44.22
_2397_,44.16
net1169,44.005
_2424_,43.92
_2425_,43.78
rf.registers\[18\]\[24\],43.69
_2382_,43.54
rf.registers\[7\]\[21\],43.5
rf.registers\[20\]\[25\],43.49
_2726_,43.46
_2928_,43.46
_2585_,43.38
rf.registers\[1\]\[10\],43.38
rf.registers\[15\]\[30\],43.26
_1494_,43.2
_2328_,43.01
_2523_,43
_2821_,43
_1039_,42.54
_1212_,42.34
rf.registers\[1\]\[7\],42.14
WD3[16],41.83
_1429_,41.74
_2219_,41.72
_2227_,41.62
rf.registers\[1\]\[3\],41.62
_2610_,41.56
rf.registers\[22\]\[25\],41.475
rf.registers\[20\]\[18\],41.4
rf.registers\[22\]\[24\],41.395
rf.registers\[22\]\[31\],41.38
_1372_,41.36
_2544_,41.36
rf.registers\[15\]\[3\],41.34
_1322_,41.26
_2691_,41.2
rf.registers\[10\]\[28\],41.2
_2622_,41.02
rf.registers\[27\]\[3\],40.84
_2760_,40.8
_1512_,40.755
_1276_,40.68
_1969_,40.68
_2303_,40.64
_2974_,40.62
rf.registers\[11\]\[31\],40.6
rf.registers\[3\]\[7\],40.46
rf.registers\[27\]\[1\],40.2
rf.registers\[12\]\[21\],40.06
rf.registers\[5\]\[21\],40
rf.registers\[5\]\[7\],39.94
rf.registers\[22\]\[29\],39.9
rf.registers\[25\]\[2\],39.88
_1741_,39.83
_1425_,39.82
_2527_,39.7
_1152_,39.64
rf.registers\[15\]\[21\],39.6
_2578_,39.56
rf.registers\[14\]\[22\],39.525
_2427_,39.52
rf.registers\[26\]\[25\],39.435
rf.registers\[3\]\[10\],39.28
_2999_,39.24
rf.registers\[30\]\[18\],39.215
rf.registers\[11\]\[4\],39.14
rf.registers\[0\]\[28\],39.12
rf.registers\[18\]\[30\],39.085
_2010_,39.08
_1625_,38.98
rf.registers\[12\]\[31\],38.74
_2983_,38.44
rf.registers\[24\]\[25\],38.4
net85,38.4
_2779_,38.09
rf.registers\[31\]\[3\],37.88
_2665_,37.7
rf.registers\[7\]\[31\],37.7
_2994_,37.66
rf.registers\[13\]\[21\],37.6
rf.registers\[13\]\[22\],37.58
_2950_,37.56
rf.registers\[0\]\[24\],37.54
_2340_,37.52
_2463_,37.46
rf.registers\[13\]\[29\],37.26
rf.registers\[6\]\[31\],37.13
rf.registers\[30\]\[5\],37.125
_2385_,37.12
rf.registers\[14\]\[4\],37.07
_2574_,37.06
rf.registers\[8\]\[4\],37.04
rf.registers\[11\]\[19\],37
_1571_,36.98
_1743_,36.98
rf.registers\[6\]\[13\],36.87
rf.registers\[25\]\[18\],36.86
rf.registers\[23\]\[25\],36.82
_1135_,36.8
rf.registers\[17\]\[7\],36.78
_1936_,36.64
_2545_,36.56
rf.registers\[20\]\[2\],36.47
_1865_,36.4
_1311_,36.38
_2049_,36.38
_1810_,36.34
rf.registers\[6\]\[24\],36.285
_2675_,36.1
rf.registers\[16\]\[22\],36.1
rf.registers\[10\]\[2\],36.07
_1188_,36.06
rf.registers\[23\]\[12\],36.06
rf.registers\[19\]\[23\],36.04
rf.registers\[26\]\[1\],36.025
_2253_,36.02
_2659_,35.97
_2154_,35.88
rf.registers\[17\]\[9\],35.82
_2878_,35.6
rf.registers\[6\]\[12\],35.59
_2355_,35.54
rf.registers\[11\]\[27\],35.42
rf.registers\[10\]\[21\],35.4
rf.registers\[2\]\[7\],35.38
_1256_,35.36
_2896_,35.34
_1905_,35.25
_2085_,35.24
_2663_,35.23
_2220_,35.2
rf.registers\[10\]\[19\],35.14
rf.registers\[27\]\[21\],35.12
rf.registers\[16\]\[6\],35.02
_1238_,34.92
_2941_,34.92
rf.registers\[15\]\[7\],34.92
rf.registers\[22\]\[22\],34.895
rf.registers\[26\]\[26\],34.785
_1272_,34.74
_2416_,34.72
rf.registers\[18\]\[22\],34.72
rf.registers\[19\]\[24\],34.72
rf.registers\[31\]\[22\],34.625
rf.registers\[20\]\[28\],34.62
_1410_,34.6
_2088_,34.54
rf.registers\[18\]\[18\],34.495
rf.registers\[10\]\[4\],34.49
rf.registers\[23\]\[8\],34.49
_2387_,34.46
rf.registers\[0\]\[21\],34.46
rf.registers\[26\]\[29\],34.455
rf.registers\[25\]\[1\],34.44
net1022,34.44
_1463_,34.4
rf.registers\[26\]\[22\],34.23
_1752_,34.16
_2565_,34.16
_3160_,34.14
rf.registers\[25\]\[10\],34.04
rf.registers\[28\]\[4\],34.04
_1832_,33.92
_2437_,33.92
rf.registers\[27\]\[30\],33.92
rf.registers\[13\]\[6\],33.89
rf.registers\[24\]\[2\],33.89
rf.registers\[0\]\[29\],33.88
rf.registers\[6\]\[25\],33.87
rf.registers\[25\]\[25\],33.84
rf.registers\[27\]\[29\],33.84
_2468_,33.82
_1280_,33.8
_2495_,33.8
_2690_,33.8
net84,33.8
rf.registers\[3\]\[2\],33.68
_1956_,33.645
_1586_,33.6
_2170_,33.6
_2931_,33.48
_1447_,33.37
rf.registers\[18\]\[12\],33.35
rf.registers\[21\]\[24\],33.34
_1837_,33.275
_1933_,33.26
_2151_,33.26
_2590_,33.26
_3414_,33.26
_2376_,33.24
_2521_,33.2
_2443_,33.18
_2689_,33.18
_2749_,33.12
rf.registers\[2\]\[9\],33.11
_1316_,33.09
rf.registers\[22\]\[12\],33.05
rf.registers\[0\]\[16\],33.02
net104,32.98
_1385_,32.96
rf.registers\[12\]\[4\],32.84
_2625_,32.8
net519,32.74
rf.registers\[10\]\[24\],32.715
_2419_,32.56
rf.registers\[31\]\[19\],32.48
_2668_,32.42
_2400_,32.4
rf.registers\[1\]\[14\],32.38
rf.registers\[27\]\[25\],32.38
_1811_,32.32
rf.registers\[7\]\[25\],32.3
_2602_,32.26
_2454_,32.24
rf.registers\[2\]\[6\],32.185
rf.registers\[23\]\[22\],32.18
rf.registers\[3\]\[3\],32.13
net1093,32.13
rf.registers\[16\]\[15\],32.1
rf.registers\[21\]\[10\],32.08
rf.registers\[2\]\[31\],32.015
rf.registers\[17\]\[24\],32
rf.registers\[22\]\[9\],31.99
_1581_,31.98
rf.registers\[24\]\[26\],31.98
_1340_,31.94
_2925_,31.92
rf.registers\[8\]\[2\],31.92
_0907_,31.885
_2208_,31.88
_2717_,31.76
rf.registers\[10\]\[26\],31.735
_0922_,31.725
_3552_,31.72
rf.registers\[30\]\[19\],31.7
_1510_,31.66
rf.registers\[20\]\[20\],31.64
net121,31.64
_2074_,31.62
rf.registers\[3\]\[6\],31.6
rf.registers\[4\]\[7\],31.58
rf.registers\[6\]\[22\],31.55
rf.registers\[11\]\[10\],31.54
rf.registers\[7\]\[24\],31.54
rf.registers\[13\]\[26\],31.46
_1540_,31.44
_1890_,31.42
_3411_,31.42
rf.registers\[3\]\[21\],31.41
_1740_,31.4
rf.registers\[14\]\[3\],31.37
rf.registers\[29\]\[23\],31.32
_2502_,31.3
rf.registers\[16\]\[8\],31.28
rf.registers\[9\]\[2\],31.28
rf.registers\[30\]\[3\],31.235
rf.registers\[25\]\[29\],31.16
_2356_,31.14
rf.registers\[2\]\[19\],31.135
rf.registers\[4\]\[23\],31.12
_1519_,31.1
rf.registers\[28\]\[15\],31.1
rf.registers\[23\]\[29\],31.06
rf.registers\[30\]\[30\],31.045
rf.registers\[17\]\[30\],31.04
_2023_,31.02
rf.registers\[4\]\[4\],31
_2817_,30.98
_1549_,30.96
_1611_,30.96
rf.registers\[1\]\[6\],30.92
rf.registers\[2\]\[0\],30.92
rf.registers\[14\]\[5\],30.915
_1878_,30.9
rf.registers\[0\]\[0\],30.88
rf.registers\[12\]\[22\],30.88
rf.registers\[29\]\[24\],30.88
_2814_,30.82
_3142_,30.8
_1981_,30.78
rf.registers\[19\]\[0\],30.76
_1995_,30.68
_2815_,30.68
_2031_,30.62
rf.registers\[30\]\[21\],30.62
rf.registers\[31\]\[26\],30.62
rf.registers\[5\]\[26\],30.6
_1622_,30.56
rf.registers\[13\]\[11\],30.56
rf.registers\[16\]\[29\],30.54
rf.registers\[1\]\[29\],30.48
rf.registers\[12\]\[15\],30.44
rf.registers\[20\]\[24\],30.44
rf.registers\[0\]\[26\],30.42
rf.registers\[31\]\[4\],30.4
_1471_,30.32
rf.registers\[23\]\[2\],30.31
rf.registers\[31\]\[5\],30.26
rf.registers\[30\]\[4\],30.255
rf.registers\[26\]\[23\],30.23
_1526_,30.22
net809,30.22
rf.registers\[19\]\[12\],30.2
net595,30.2
_1417_,30.14
_3090_,30.14
_2191_,30.1
rf.registers\[16\]\[7\],30.1
rf.registers\[20\]\[7\],30.1
rf.registers\[6\]\[0\],30.095
rf.registers\[4\]\[12\],30.08
net896,30.08
rf.registers\[16\]\[24\],29.97
_1371_,29.94
rf.registers\[17\]\[29\],29.92
_0502_,29.885
rf.registers\[28\]\[29\],29.88
rf.registers\[30\]\[13\],29.875
_3881_,29.86
rf.registers\[26\]\[15\],29.85
_2348_,29.82
rf.registers\[22\]\[10\],29.805
rf.registers\[20\]\[29\],29.8
net1016,29.76
rf.registers\[15\]\[19\],29.74
_2796_,29.71
rf.registers\[13\]\[15\],29.7
_2594_,29.695
_0824_,29.685
_1164_,29.62
rf.registers\[14\]\[10\],29.615
rf.registers\[0\]\[8\],29.58
rf.registers\[28\]\[7\],29.575
rf.registers\[4\]\[26\],29.56
net721,29.56
_1399_,29.52
rf.registers\[13\]\[19\],29.52
rf.registers\[5\]\[24\],29.52
net1126,29.52
_2182_,29.505
rf.registers\[7\]\[2\],29.42
rf.registers\[21\]\[9\],29.4
rf.registers\[3\]\[9\],29.38
rf.registers\[30\]\[23\],29.37
rf.registers\[12\]\[28\],29.36
rf.registers\[0\]\[7\],29.3
_0898_,29.285
rf.registers\[5\]\[20\],29.28
net601,29.28
_2006_,29.27
rf.registers\[22\]\[13\],29.27
_2904_,29.26
_1204_,29.24
rf.registers\[20\]\[19\],29.22
rf.registers\[31\]\[21\],29.2
net1140,29.2
_2134_,29.18
rf.registers\[29\]\[15\],29.18
rf.registers\[4\]\[1\],29.18
rf.registers\[21\]\[2\],29.16
rf.registers\[29\]\[10\],29.16
rf.registers\[6\]\[9\],29.155
_2525_,29.1
rf.registers\[25\]\[7\],29.06
rf.registers\[18\]\[23\],29.03
rf.registers\[26\]\[6\],29.005
rf.registers\[26\]\[27\],28.995
_1572_,28.975
rf.registers\[4\]\[28\],28.94
rf.registers\[5\]\[3\],28.9
rf.registers\[9\]\[6\],28.88
_2672_,28.86
rf.registers\[29\]\[31\],28.82
net205,28.82
_1080_,28.8
rf.registers\[24\]\[12\],28.8
rf.registers\[19\]\[22\],28.78
rf.registers\[4\]\[24\],28.78
rf.registers\[8\]\[1\],28.78
rf.registers\[15\]\[25\],28.76
rf.registers\[17\]\[2\],28.74
rf.registers\[4\]\[14\],28.74
